Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),
5.900000,94.651782,5.900000,54.570558,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,99.998724,5.900000,100.000000,5.900000,98.081528,5.900000,97.428593,5.900000,0.000000,5.900000,100.000000,5.900000,0.000000,5.900000,28.281424,5.900000,0.000000,5.900000,0.000182,5.900000,31.690784,5.900000,0.000000,5.900000,95.302966,5.900000,44.907685,5.900000,100.000000,5.900000,0.000000,
6.100000,92.292141,6.100000,53.494765,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,99.980863,6.100000,100.000000,6.100000,96.516427,6.100000,97.268377,6.100000,0.000000,6.100000,100.000000,6.100000,0.000000,6.100000,27.678740,6.100000,0.000000,6.100000,0.000000,6.100000,29.152069,6.100000,0.000000,6.100000,94.815139,6.100000,44.006417,6.100000,100.000000,6.100000,0.000000,
6.300000,90.031447,6.300000,52.349002,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,99.913245,6.300000,100.000000,6.300000,94.634054,6.300000,97.085645,6.300000,0.000000,6.300000,100.000000,6.300000,0.000000,6.300000,27.061310,6.300000,0.000000,6.300000,0.000000,6.300000,26.155116,6.300000,0.000000,6.300000,94.227632,6.300000,43.099234,6.300000,100.000000,6.300000,0.000000,
6.500000,87.957964,6.500000,51.215733,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,99.823939,6.500000,100.000000,6.500000,92.627340,6.500000,96.837325,6.500000,0.000000,6.500000,100.000000,6.500000,0.000000,6.500000,26.364601,6.500000,0.000000,6.500000,0.000000,6.500000,22.630109,6.500000,0.000000,6.500000,93.347127,6.500000,42.132424,6.500000,100.000000,6.500000,0.000000,
6.700000,86.125907,6.700000,49.950021,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,99.744839,6.700000,100.000000,6.700000,90.671699,6.700000,96.516457,6.700000,0.000000,6.700000,100.000000,6.700000,0.000000,6.700000,25.625873,6.700000,0.000000,6.700000,0.000000,6.700000,19.261234,6.700000,0.000000,6.700000,91.859482,6.700000,41.140770,6.700000,100.000000,6.700000,0.000000,
6.900000,84.488940,6.900000,48.621836,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,99.637672,6.900000,100.000000,6.900000,88.829036,6.900000,96.178838,6.900000,0.000000,6.900000,100.000000,6.900000,0.000000,6.900000,24.866850,6.900000,0.000000,6.900000,0.000000,6.900000,16.375984,6.900000,0.000000,6.900000,89.930828,6.900000,40.161892,6.900000,100.000000,6.900000,0.000000,
7.100000,82.986840,7.100000,47.203688,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,99.498609,7.100000,100.000000,7.100000,87.085444,7.100000,95.829037,7.100000,0.000000,7.100000,100.000000,7.100000,0.000000,7.100000,24.091178,7.100000,0.000000,7.100000,0.000000,7.100000,13.846154,7.100000,0.000000,7.100000,87.392014,7.100000,39.072989,7.100000,100.000000,7.100000,0.000000,
7.300000,81.607056,7.300000,45.355724,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,99.378684,7.300000,100.000000,7.300000,85.480233,7.300000,95.461289,7.300000,0.000000,7.300000,100.000000,7.300000,0.000000,7.300000,23.289819,7.300000,0.000000,7.300000,0.000000,7.300000,11.329018,7.300000,0.000000,7.300000,84.351779,7.300000,37.887073,7.300000,100.000000,7.300000,0.000000,
7.500000,80.357999,7.500000,42.715596,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,99.230691,7.500000,100.000000,7.500000,84.001770,7.500000,95.100285,7.500000,0.000000,7.500000,100.000000,7.500000,0.000000,7.500000,22.502097,7.500000,0.000000,7.500000,0.000000,7.500000,8.757299,7.500000,0.000000,7.500000,80.911315,7.500000,36.529375,7.500000,100.000000,7.500000,0.000000,
7.700000,79.248750,7.700000,39.596921,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,99.082698,7.700000,100.000000,7.700000,82.679737,7.700000,94.738846,7.700000,0.000000,7.700000,100.000000,7.700000,0.000000,7.700000,21.686785,7.700000,0.000000,7.700000,0.000000,7.700000,6.255395,7.700000,0.000000,7.700000,77.205038,7.700000,35.092173,7.700000,100.000000,7.700000,0.000000,
